#{"t_start": 1611321499.4353979, "env_id": "Reacher-v2"}
r,l,t
-43.863333,50,67.396414
-48.812217,50,67.450264
-42.102166,50,67.504508
-47.644036,50,67.557837
-50.869465,50,67.612448
-44.965992,50,67.666774
-44.441411,50,69.246301
-39.648863,50,69.301002
-43.399262,50,69.35499
-37.880926,50,69.408655
-39.271471,50,69.462604
-39.52259,50,69.516629
-42.616963,50,69.570647
-38.019311,50,69.625027
-32.300938,50,69.679974
-39.030643,50,69.733869
-45.197554,50,69.787849
-36.101065,50,69.843814
-47.686588,50,69.897642
-40.669512,50,69.951242
-43.805015,50,70.005325
-42.035071,50,70.059752
-40.910182,50,70.113957
-38.603705,50,70.167453
-47.56192,50,70.221937
-35.74471,50,70.277257
-43.854949,50,70.331295
-41.961813,50,70.384979
-37.73483,50,70.439384
-33.701488,50,70.49299
-36.401696,50,70.546917
-47.975243,50,70.600899
-36.498844,50,70.655396
-45.954935,50,70.709169
-41.598606,50,70.763078
-32.890175,50,70.816859
-34.903493,50,70.871936
-35.651531,50,70.92625
-39.647608,50,70.979729
-38.979598,50,71.033625
-51.963286,50,71.087727
-35.715978,50,71.141543
-48.560444,50,71.195477
-51.376505,50,71.249556
-32.609868,50,71.30312
-42.661187,50,71.357103
-36.719241,50,71.410882
-36.228926,50,72.990762
-42.59455,50,73.046237
-29.347698,50,73.101474
-41.759103,50,73.154973
-37.806238,50,73.208642
-37.695815,50,73.262867
-39.072249,50,73.316536
-41.808452,50,73.370166
-40.77458,50,73.424069
-39.108133,50,73.478239
-36.745263,50,73.53275
-38.025822,50,73.586393
-40.899721,50,73.640293
-33.293367,50,73.69382
-48.473389,50,73.747146
-39.725506,50,73.802336
-35.558949,50,73.857959
-35.329229,50,73.912282
-36.865954,50,73.966071
-34.152112,50,74.020041
-34.754534,50,74.074302
-40.230061,50,74.129722
-40.541426,50,74.184493
-36.438478,50,74.23924
-51.067902,50,74.29463
-30.471961,50,74.348202
-38.401707,50,74.402492
-33.423058,50,74.456336
-46.64037,50,74.510256
-34.154626,50,74.564823
-44.259805,50,74.61856
-41.006977,50,74.672652
-38.729974,50,74.726648
-33.371826,50,74.780549
-33.632503,50,74.834654
-37.6479,50,74.890258
-34.26002,50,74.943676
-36.024479,50,74.996831
-32.061883,50,75.050861
-32.067787,50,75.10527
-37.719344,50,75.159236
-32.885705,50,76.738924
-35.212737,50,76.793738
-30.53811,50,76.848793
-34.878141,50,76.903954
-30.135094,50,76.957323
-32.590147,50,77.01164
-42.743363,50,77.066334
-44.718578,50,77.120525
-35.805476,50,77.17416
-39.706355,50,77.228345
-36.20664,50,77.282223
-43.292842,50,77.336024
-37.108942,50,77.389811
-44.001702,50,77.444318
-35.840832,50,77.4985
-41.420459,50,77.552806
-35.141169,50,77.606688
-39.107507,50,77.660443
-40.621386,50,77.714299
-41.415267,50,77.767863
-36.61493,50,77.821507
-30.799305,50,77.877051
-34.786519,50,77.930999
-32.595228,50,77.984478
-34.721835,50,78.039066
-40.193503,50,78.093114
-27.93491,50,78.146736
-36.550917,50,78.200168
-39.055738,50,78.25499
-29.369054,50,78.308515
-29.918977,50,78.362346
-21.809552,50,78.416295
-37.742722,50,78.470646
-33.006282,50,78.52489
-41.049834,50,78.579087
-40.001392,50,78.633195
-39.895584,50,78.687139
-31.741557,50,78.741094
-29.558283,50,78.794681
-36.805153,50,78.84885
-34.368495,50,78.903633
-40.367159,50,80.481299
-25.703612,50,80.535212
-35.703126,50,80.589095
-28.332394,50,80.643381
-33.438191,50,80.697429
-32.323864,50,80.751982
-24.349023,50,80.80556
-46.055919,50,80.860433
-42.946131,50,80.916138
-30.742876,50,80.969974
-25.648161,50,81.024284
-34.001853,50,81.078875
-33.495647,50,81.133207
-33.698095,50,81.187146
-36.402624,50,81.241657
-46.351636,50,81.296129
-42.723519,50,81.349695
-31.775407,50,81.403563
-30.683411,50,81.458151
-30.878378,50,81.513179
-36.41091,50,81.5672
-33.895764,50,81.621019
-43.007424,50,81.675921
-37.283194,50,81.72995
-28.020539,50,81.784092
-37.674343,50,81.838258
-35.592392,50,81.893302
-31.819735,50,81.947483
-33.42696,50,82.001291
-42.909971,50,82.055467
-33.860215,50,82.109966
-26.835814,50,82.163845
-26.971383,50,82.217929
-26.809513,50,82.272405
-31.605009,50,82.326467
-36.769318,50,82.380261
-29.268032,50,82.434658
-35.096294,50,82.489064
-35.964908,50,82.543374
-30.751881,50,82.598149
-30.284919,50,82.652379
-30.374432,50,84.321494
-34.60439,50,84.488741
-30.524738,50,84.655381
-31.647083,50,84.823118
-31.433888,50,84.990576
-33.525245,50,85.155646
-37.41801,50,85.322458
-30.821216,50,85.48843
-34.731714,50,85.652093
-25.856692,50,85.822452
-29.213494,50,85.990728
-29.993368,50,86.156969
-25.094933,50,86.323074
-29.459192,50,86.487408
-27.274275,50,86.651073
-27.1178,50,86.816322
-32.187053,50,86.987055
-38.251526,50,87.153821
-29.571104,50,87.316559
-28.187881,50,87.480805
-38.322496,50,87.647462
-33.933119,50,87.811727
-28.886268,50,87.973049
-33.95208,50,88.136324
-34.155209,50,88.29982
-33.000744,50,88.466409
-31.203648,50,88.631066
-38.739679,50,88.798342
-32.783515,50,88.961687
-43.653807,50,89.12387
-29.899805,50,89.288851
-29.992591,50,89.452545
-30.885717,50,89.61763
-27.419727,50,89.781899
-39.005915,50,89.946913
-31.742809,50,90.111645
-34.602032,50,90.27775
-36.231015,50,90.441897
-32.81263,50,90.604788
-30.783543,50,90.771346
-36.596164,50,90.934389
-32.166302,50,92.518964
-32.822158,50,92.573106
-30.441078,50,92.626775
-31.979894,50,92.680802
-31.747489,50,92.734243
-27.920998,50,92.787691
-28.079438,50,92.841217
-23.804345,50,92.894726
-30.235338,50,92.949328
-30.381189,50,93.002742
-25.133759,50,93.056677
-30.512233,50,93.110381
-33.956945,50,93.163863
-31.458799,50,93.217021
-36.539684,50,93.27085
-21.184586,50,93.32454
-29.345021,50,93.377611
-26.878079,50,93.431702
-27.828484,50,93.48547
-27.977096,50,93.539813
-25.596802,50,93.593972
-31.575746,50,93.648337
-31.901302,50,93.70183
-32.650133,50,93.754941
-28.135513,50,93.80838
-26.866717,50,93.862505
-30.585181,50,93.915457
-33.907984,50,93.96971
-24.088688,50,94.023144
-25.840312,50,94.076976
-28.074248,50,94.130678
-31.294995,50,94.184393
-28.766809,50,94.238169
-25.549042,50,94.291793
-27.235012,50,94.345438
-22.847699,50,94.398904
-24.809575,50,94.452779
-33.540112,50,94.506166
-31.035229,50,94.559675
-32.739017,50,94.613023
-29.777744,50,94.666861
-24.396079,50,96.234498
-29.061904,50,96.288738
-26.023381,50,96.342026
-29.358085,50,96.395514
-31.92123,50,96.449836
-27.759988,50,96.504622
-24.482567,50,96.558842
-29.205039,50,96.612269
-33.558434,50,96.666412
-34.152482,50,96.719785
-27.182311,50,96.773247
-28.164938,50,96.826418
-23.380054,50,96.879892
-30.922664,50,96.933223
-24.728804,50,96.988482
-29.914679,50,97.042061
-21.638973,50,97.095719
-24.661658,50,97.149101
-34.169793,50,97.202436
-26.795733,50,97.256202
-34.894093,50,97.309358
-30.692135,50,97.363231
-23.557514,50,97.416642
-29.651333,50,97.470721
-28.040087,50,97.523923
-36.097629,50,97.57772
-20.922739,50,97.631454
-24.681428,50,97.684831
-20.973674,50,97.738135
-23.922769,50,97.791556
-25.199697,50,97.845291
-25.512598,50,97.898935
-22.911315,50,97.952202
-25.309046,50,98.006445
-35.128213,50,98.060349
